Neighborhood,Latitude,Longitude
Asemrowo,-7.234688,112.685417
Benowo,-7.226500,112.649700
Bubutan,-7.249962,112.730110
Bulak,-7.236800,112.789700
Dukuh Pakis,-7.296800,112.700300
Gayungan,-7.330800,112.724200
Genteng,-7.259088,112.747986
Gubeng,-7.278906,112.753945
Gunung Anyar,-7.339200,112.804600
Jambangan,-7.321100,112.718200
Karang Pilang,-7.337800,112.688400
Kenjeran,-7.220300,112.768800
Krembangan,-7.230100,112.724200
Lakarsantri,-7.316514,112.661581
Mulyorejo,-7.269300,112.792700
Pabean Cantian,-7.214700,112.730100
Pakal,-7.228300,112.613900
Rungkut,-7.319000,112.804600
Sambikerep,-7.276800,112.649700
Sawahan,-7.263000,112.721200
Semampir,-7.211500,112.745000
Simokerto,-7.238600,112.753900
Sukolilo,-7.288184,112.816509
Sukomanunggal,-7.264300,112.697300
Tambaksari,-7.250400,112.768800
Tandes,-7.255400,112.673500
Tegalsari,-7.279800,112.736100
Tenggilis Mejoyo,-7.320400,112.758000
Wiyung,-7.315300,112.685400
Wonocolo,-7.319800,112.742000
Wonokromo,-7.302700,112.733100